Tarih,Sembol,Giriş (Buy_L),Stop (SL),Hedef 1 (TP1),Hedef 2 (TP2)
14 Nisan,GSAT,77.49,73.05,88.59,1014.28
14 Nisan,SGI,81.71,78.72,89.18,269.49
14 Nisan,BBIO,77.63,77.34,78.52,169.8
14 Nisan,SNDK,907.58,895.77,955.35,110.33
14 Nisan,CROX,100.01,99.61,104.97,98.88
14 Nisan,SQM,88.02,87.06,92.97,99.64
14 Nisan,AVT,72.49,72.28,73.19,79.7
14 Nisan,MOD,246.19,240.47,254.98,104.13
14 Nisan,FUTU,159.33,155.02,162.41,74.1
14 Nisan,INTC,62.22,61.91,62.61,63.31
13 Nisan,FORM,132.08,117.72,135.18,139.83
13 Nisan,NOK,10.42,9.53,10.61,10.9
13 Nisan,CAR,336,287.13,344.06,356.16
13 Nisan,CLS,363.25,324.55,371.61,384.15
10 Nisan,SSSS,11.98,10.67,12.46,13.18
09 Nisan,NOK,9.52,8.73,9.9,10.47
09 Nisan,CAR,260.85,222.53,267.11,276.5
09 Nisan,INTC,60.48,54.39,61.8,63.77
08 Nisan,SPIR,20.34,17.31,20.83,21.56
08 Nisan,ATMU,63.48,58.74,65.85,69.41
08 Nisan,HTZ,5.89,5.19,6.03,6.24
07 Nisan,AMLX,16.13,14.32,16.52,17.1
06 Nisan,CTA,31.2,29.82,31.89,32.92
06 Nisan,KODK,11.4,10.06,11.67,12.08
06 Nisan,RLAY,12.48,10.81,12.78,13.23
06 Nisan,MGTX,9.69,8.59,9.92,10.27
30 Mart,SOBO,34.7,33.3,35.4,36.45
30 Mart,KODK,8.76,7.74,9.11,9.64
30 Mart,CODI,7.95,6.88,8.14,8.42
26 Mart,AIR,111.08,99.83,115.52,122.19
26 Mart,ELVN,39.65,34.89,40.6,42.03
25 Mart,DOCN,84.68,73.28,88.07,93.15
25 Mart,ELVN,35.95,31.61,36.81,38.11
24 Mart,BEP,31.3,29.31,32.29,33.78
23 Mart,SEDG,47.14,39.92,49.02,51.85
23 Mart,KNF,84.33,77.21,87.7,92.76
23 Mart,BTU,37.31,32.96,38.8,41.04
23 Mart,TS,56.52,53.84,57.86,59.87
23 Mart,VSAT,48.67,41.65,50.62,53.54
23 Mart,PARR,58.35,52.15,60.69,64.19
23 Mart,CNR,103.63,93.09,107.77,113.99
23 Mart,ECVT,11.98,11.14,12.39,13.02
23 Mart,CC,18.61,16.04,19.35,20.47
23 Mart,DTM,137.31,129.87,141.03,146.61
23 Mart,DAN,32.78,30.19,34.08,36.03
23 Mart,AROC,35.53,33.28,36.65,38.34
23 Mart,E,52.79,50.45,53.97,55.73
23 Mart,OVV,56.97,53.75,58.9,61.8
21 Mart,🚀 KNF,33.2,80.9,74.04,84.14
21 Mart,🚀 GAIN,27.2,14.05,13.41,14.37
21 Mart,🚀 BEP,27,30.83,28.91,31.79
21 Mart,🚀 FLNG,26.7,30.08,28.16,31.04
21 Mart,🚀 SNDX,26.3,24.23,22.01,25.2
21 Mart,🚀 DIOD,25.6,64.75,58.1,67.34
21 Mart,🚀 VET,24.6 [E],13.89,12.69,14.15
21 Mart,🚀 AGRO,24.5 [E],14.11,12.68,14.42
21 Mart,🚀 EGY,22.5 [E],6.25,5.66,6.38
21 Mart,🚀 SPIR,21.9 [E],12.22,10.42,12.51
21 Mart,🚀 WDS,20.1 [E],24.14,22.76,24.96
16 Mart,🚀 CGON,35.1,64.82,58.41,67.41
16 Mart,🚀 LXU,33.5,14.75,13.02,15.34
16 Mart,🚀 ADEA,32.5,23.1,21.07,24.02
16 Mart,🚀 PBR,30.4,18.57,17.43,19.14
16 Mart,🚀 STGW,30,5.95,5.17,6.19
16 Mart,🚀 BP,29.6,42.67,40.7,43.65
16 Mart,🚀 DNTH,29.3,78.89,68.49,82.04
16 Mart,🚀 UNFI,27.8,41.69,37.98,43.36
16 Mart,🚀 OXY,27.4,57.33,53.48,59.26
16 Mart,🚀 EGY,27.3,5.49,4.91,5.7
16 Mart,🚀 ERIC,27.2,11.89,11.26,12.2
16 Mart,🚀 CAPR,26.9,30.65,26.15,31.88
16 Mart,🚀 UTHR,26.8,533.37,497.95,551.08
16 Mart,🚀 NOK,26.5,8.64,7.95,8.98
16 Mart,🚀 DAR,26,54.57,50.99,56.36
16 Mart,🚀 NSSC,25.6,42.99,39.76,44.61
16 Mart,🚀 RLAY,25,10.3,8.8,10.71
16 Mart,🚀 APEI,24.7 [E],54.12,48.55,55.32
16 Mart,🚀 PSX,24.5,173.67,163.14,178.93
16 Mart,🚀 TALK,23.7,5.14,4.73,5.35
16 Mart,🚀 LXU,33.5,14.88,13.15,15.48
16 Mart,🚀 ADEA,32.4,23.2,21.18,24.13
16 Mart,🚀 STGW,31,5.89,5.12,6.13
16 Mart,🚀 CAPR,29.8,31.44,26.94,32.7
16 Mart,🚀 UNFI,28.6,42.21,38.53,43.9
16 Mart,🚀 EGY,27,5.48,4.91,5.7
16 Mart,🚀 RLAY,25.8,10.26,8.77,10.67
16 Mart,🚀 TALK,24.9,5.14,4.73,5.35
16 Mart,🚀 APEI,24.3 [E],54.77,49.33,55.95
4 Mart,🚀 TDW,32.8,85.12,77.93,88.52
4 Mart,🚀 TRS,32.4,39.31,36.32,40.8
4 Mart,🚀 CRGY,32.2,11.41,10.2,11.87
4 Mart,🚀 TMDX,30.8,147.24,131.14,153.13
4 Mart,🚀 BTSG,29.5,41.67,38.12,43.34
4 Mart,🚀 DELL,29.2,147.24,132.58,153.13
4 Mart,🚀 VIAV,29.1,32.26,28.31,33.55
4 Mart,🚀 VVX,28.9,73.86,67.61,76.81
4 Mart,🚀 MTZ,28.4,301.74,274.5,313.81
4 Mart,🚀 OXY,27.6,53.38,49.77,55.18
4 Mart,🚀 CLDX,27.5,29.84,26.91,31.03
4 Mart,🚀 GLNG,27.3,46.41,43.55,47.84
4 Mart,🚀 SRRK,27.3,45.57,41.05,47.39
4 Mart,🚀 VAC,27.1,68.7,61.65,71.45
4 Mart,🚀 VIST,26.8,58.12,53.69,60.33
4 Mart,🚀 PEB,26.4,13.05,12.06,13.55
4 Mart,🚀 BVN,26.1,38.81,34.12,40.36
4 Mart,🚀 NEXA,26.1,12.6,10.64,13.1
4 Mart,🚀 EQNR,25.9,31.28,29.44,32.2
4 Mart,🚀 TDAY,25.3,6.18,5.6,6.43
3 Mart,🚀 LASR,34.8,64.79,54.82,67.38
3 Mart,🚀 TRS,32.8,38.12,35.16,39.6
3 Mart,🚀 TMDX,32.7,147.33,130.84,153.23
3 Mart,🚀 CLDX,31.4,29.83,26.86,31.03
3 Mart,🚀 PEB,29.6,12.6,11.59,13.1
3 Mart,🚀 EFXT,29.5,22.44,20.38,23.34
3 Mart,🚀 GLNG,29.4,45.27,42.54,46.63
3 Mart,🚀 VVX,29.2,72.42,66.13,75.32
3 Mart,🚀 CRGY,28.4,11.38,10.24,11.83
3 Mart,🚀 MTDR,27.9,54.38,50.29,56.43
3 Mart,🚀 GTN,27.6,5.33,4.63,5.54
3 Mart,🚀 VAC,27.6,67.34,60.35,70.03
3 Mart,🚀 NEXA,27.2,12.74,10.77,13.25
3 Mart,🚀 KNSA,27,45.78,41.83,47.61
3 Mart,🚀 CNA,26.9,49.08,47.12,50.06
3 Mart,🚀 CNK,26.7,28.69,26.5,29.79
3 Mart,🚀 BVN,26.2,39.06,34.23,40.62
3 Mart,🚀 TKO,25.6,219.98,204.54,227.7
3 Mart,🚀 SUPN,24.5,54.87,50.54,57.03
3 Mart,🚀 INSW,23.5 [E],75.93,71.11,78.83
2 Mart,🚀 PVLA,35,134.37,113.52,139.75
2 Mart,🚀 LASR,34.5,66.98,57.38,69.66
2 Mart,🚀 UCTT,33.5,62.9,53.59,65.42
2 Mart,🚀 JAZZ,33.2,190.22,178.96,195.85
2 Mart,🚀 TMDX,32,144.28,128.86,150.05
2 Mart,🚀 VICR,31.8,207.61,178.45,215.91
2 Mart,🚀 KNTK,31.2,46.62,42.67,48.49
2 Mart,🚀 GLW,31,158.56,143.45,164.9
2 Mart,🚀 TIGO,30.4,73.65,68.85,76.06
2 Mart,🚀 TKO,28.8,224.99,209.44,232.77
2 Mart,🚀 CME,28.4,319.5,306.01,326.24
2 Mart,🚀 CAVA,28.2,78.73,69.11,81.88
2 Mart,🚀 MTDR,28.1,53.78,49.71,55.82
2 Mart,🚀 COHR,28,294.93,255.71,306.73
2 Mart,🚀 SUI,27.7,136.43,130.33,139.48
2 Mart,🚀 STRL,27.5,440.95,386.81,458.59
2 Mart,🚀 XRAY,27.4,14.68,13.34,15.27
2 Mart,🚀 CHRD,27.3,111.71,104.12,115.51
2 Mart,🚀 LNTH,26.9,75,69.72,77.64
2 Mart,🚀 GLNG,26.5,45.58,42.9,46.92
1 Mart,🚀 PVLA,34.4,133.29,112.44,138.62
1 Mart,🚀 UCTT,33.5,63.01,53.7,65.53
1 Mart,🚀 LASR,33.3,65.83,56.24,68.47
1 Mart,🚀 JAZZ,33.1,189.77,178.52,195.4
1 Mart,🚀 TMDX,31.6,143.25,127.83,148.98
1 Mart,🚀 VICR,31.4,206.43,177.27,214.68
1 Mart,🚀 GLW,30.5,157.66,142.56,163.97
1 Mart,🚀 TIGO,30.4,73.7,68.9,76.1
1 Mart,🚀 CAVA,28.2,78.71,69.09,81.86
1 Mart,🚀 MTDR,28.2,53.44,49.37,55.48
1 Mart,🚀 COHR,28,296.33,257.24,308.18
1 Mart,🚀 TKO,28,224.2,208.65,231.98
1 Mart,🚀 SUI,27.7,135.95,129.85,139
1 Mart,🚀 CHRD,27.3,111.61,104.02,115.41
1 Mart,🚀 STRL,26.9,441.44,387.3,459.1
